 user_loc,fr_loc,scaled_sci
AT,NI,765
AT,NL,17798
AT,NO,12104
AT,NP,842
AT,NZ,5253
AT,OM,1658
AT,PA,1172
AT,PE,812
AT,PF,1462
AT,PG,329
AT,PH,1365
AT,PK,1124
AT,PL,15110
AT,PR,839
AT,PT,9027
AT,PY,1114
AT,QA,3203
AT,RE,1217
AT,RO,91149
AT,RS,221432
AT,RW,836
AT,SA,1817
AT,SB,240
AT,SC,7151
AT,SE,16537
AT,SG,2811
AT,SI,176074
AT,SK,72087
AT,SL,1715
AT,SN,1362
AT,SR,616
AT,ST,1055
AT,SV,461
AT,SZ,380
AT,TD,445
AT,TG,1344
AT,TH,1083
AT,TJ,2371
AT,TL,284
AT,TN,4520
AT,TO,789
AT,TR,14259
AT,TT,1131
AT,TW,904
AT,TZ,914
AT,UA,4890
AT,UG,2269
AT,US,2710
AT,UY,1522
AT,UZ,1228
AT,VC,1851
AT,VN,315
AT,VU,651
AT,WS,381
AT,XK,113697
AT,YT,508
AT,ZA,885
AT,ZM,620
AT,ZW,994
AU,AE,11931
AU,AG,3514
AU,AL,2268
AU,AM,1277
AU,AO,291
AU,AR,1624
AU,AT,5680
AU,AU,1780129
AU,AW,2719
AU,AZ,443
AU,BA,7830
AU,BB,4314
AU,BD,1765
AU,BE,4143
AU,BF,210
AU,BG,1578
AU,BH,6822
AU,BI,4547
AU,BJ,380
AU,BN,11472
AU,BO,337
AU,BR,1749
AU,BS,3131
AU,BT,47252
AU,BW,3484
AU,BY,1051
AU,BZ,1245
AU,CA,15832
AU,CD,868
AU,CF,1119
AU,CG,465
AU,CH,10447
AU,CI,298
AU,CL,2907
AU,CM,556
AU,CO,2728
AU,CR,1216
AU,CV,714
AU,CW,2561
AU,CY,15743
AU,CZ,2560
AU,DE,5747
AU,DJ,1577
AU,DK,7728
AU,DO,466
AU,DZ,234
AU,EC,531
AU,EE,11743
AU,EG,1061
AU,ES,3120
AU,ET,3032
AU,FI,6137
AU,FJ,116638
AU,FM,3687
AU,FR,3684
AU,GA,364
AU,GB,27247
AU,GD,2718
AU,GE,605
AU,GF,897
AU,GH,2045
AU,GM,2967
AU,GN,1253
AU,GP,1541
AU,GQ,582
AU,GR,10798
AU,GT,301
AU,GU,7620
AU,GW,242
AU,GY,989
AU,HK,21965
AU,HN,285
AU,HR,7071
AU,HT,316
AU,HU,2571
AU,ID,1580
AU,IE,50323
AU,IM,28000
AU,IN,2661
AU,IS,8133
AU,IT,5875
AU,JE,41540
AU,JM,1718
AU,JO,2469
AU,JP,4713
AU,KE,4726
AU,KG,379
AU,KH,4751
AU,KI,42671
AU,KM,199
AU,KR,4343
AU,KW,5002
AU,KY,31267
AU,KZ,429
AU,LA,3265
AU,LB,25219
AU,LC,2274
AU,LK,24725
AU,LR,9270
AU,LS,265
AU,LT,2191
AU,LU,6495
AU,LV,2382
AU,LY,348
AU,MA,479
AU,MD,465
AU,ME,6157
AU,MG,330
AU,MK,25484
AU,ML,277
AU,MM,1933
AU,MN,6609
AU,MO,15510
AU,MQ,1208
AU,MR,245
AU,MT,42147
AU,MU,24360
AU,MV,9402
AU,MW,1608
AU,MX,483
AU,MY,13754
AU,MZ,521
AU,NA,2742
AU,NC,13699
AU,NE,287
AU,NG,1399
AU,NI,342
AU,NL,8011
AU,NO,8424
AU,NP,25772
AU,NZ,209359
AU,OM,4356
AU,PA,925
AU,PE,880
AU,PF,7249
AU,PG,25860
AU,PH,7257
AU,PK,2435
AU,PL,1523
AU,PR,1085
AU,PT,4518
AU,PY,563
AU,QA,9406
AU,RE,2275
AU,RO,1473
AU,RS,6394
AU,RW,2330
AU,SA,2493
AU,SB,55722
AU,SC,25956
AU,SE,9471
AU,SG,35503
AU,SI,5203
AU,SK,2187
AU,SL,7835
AU,SN,393
AU,SR,950
AU,ST,396
AU,SV,842
AU,SZ,1104
AU,TD,537
AU,TG,567
AU,TH,3810
AU,TJ,456
AU,TL,29900
AU,TN,586
AU,TO,381475
AU,TR,1218
AU,TT,2489
AU,TW,5936
AU,TZ,1211
AU,UA,628
AU,UG,4002
AU,US,6142
AU,UY,2541
AU,UZ,412
AU,VC,2251
AU,VN,3032
AU,VU,104880
AU,WS,190020
AU,XK,1865
AU,YT,477
AU,ZA,4001
AU,ZM,2290
AU,ZW,13012
AW,AE,3359
AW,AG,174684
AW,AL,910
AW,AM,269
AW,AO,1214
AW,AR,6051
AW,AT,3662
AW,AU,2719
AW,AW,427209236
AW,AZ,328
AW,BA,604
AW,BB,46859
AW,BD,242
AW,BE,16663
AW,BF,767
AW,BG,2368
AW,BH,4283
AW,BI,535
AW,BJ,5750
AW,BN,2642
AW,BO,2637
AW,BR,2033
AW,BS,49472
AW,BT,292
AW,BW,539
AW,BY,523
AW,BZ,15412
AW,CA,9476
AW,CD,766
AW,CF,971
AW,CG,1411
AW,CH,7787
AW,CI,1082
AW,CL,30058
AW,CM,1252
AW,CO,104816
AW,CR,23095
AW,CV,2168
AW,CW,18000312
AW,CY,2840
AW,CZ,1430
AW,DE,3546
AW,DJ,396
AW,DK,2090
AW,DO,195759
AW,DZ,635
AW,EC,24238
AW,EE,1257
AW,EG,601
AW,ES,17563
AW,ET,259
AW,FI,2060
AW,FJ,4963
AW,FM,1956
AW,FR,2509
AW,GA,1105
AW,GB,4666
AW,GD,269008
AW,GE,412
AW,GF,107863
AW,GH,2019
AW,GM,4246
AW,GN,801
