user_loc,fr_loc,scaled_sci
Antigua and Barbuda,Guadeloupe,802310
Antigua and Barbuda,Equatorial Guinea,10555
Antigua and Barbuda,Greece,1299
Antigua and Barbuda,Guatemala,890
Antigua and Barbuda,Guam,3868
Antigua and Barbuda,Guinea-Bissau,3483
Antigua and Barbuda,Guyana,3777881
Antigua and Barbuda,Hong Kong,1106
Antigua and Barbuda,Honduras,1999
Antigua and Barbuda,Croatia,1530
Antigua and Barbuda,Haiti,52380
Antigua and Barbuda,Hungary,1022
Antigua and Barbuda,Indonesia,328
Antigua and Barbuda,Ireland,4592
Antigua and Barbuda,Isle of Man,18997
Antigua and Barbuda,India,522
Antigua and Barbuda,Iceland,3581
Antigua and Barbuda,Italy,4331
Antigua and Barbuda,Jersey,24891
Antigua and Barbuda,Jamaica,2598041
Antigua and Barbuda,Jordan,777
Antigua and Barbuda,Japan,824
Antigua and Barbuda,Kenya,6758
Antigua and Barbuda,Kyrgyzstan,241
Antigua and Barbuda,Cambodia,248
Antigua and Barbuda,Kiribati,1833
Antigua and Barbuda,Comoros,9804
Antigua and Barbuda,"Korea, Republic of",357
Antigua and Barbuda,Kuwait,2392
Antigua and Barbuda,Cayman Islands,1092215
Antigua and Barbuda,Kazakhstan,371
Antigua and Barbuda,Lao People's Democratic Republic,202
Antigua and Barbuda,Lebanon,9573
Antigua and Barbuda,Saint Lucia,6556735
Antigua and Barbuda,Sri Lanka,1594
Antigua and Barbuda,Liberia,24225
Antigua and Barbuda,Lesotho,3871
Antigua and Barbuda,Lithuania,747
Antigua and Barbuda,Luxembourg,4408
Antigua and Barbuda,Latvia,1374
Antigua and Barbuda,Libya,369
Antigua and Barbuda,Morocco,1151
Antigua and Barbuda,"Moldova, Republic of",303
Antigua and Barbuda,Montenegro,1914
Antigua and Barbuda,Madagascar,2280
Antigua and Barbuda,North Macedonia,2532
Antigua and Barbuda,Mali,2999
Antigua and Barbuda,Myanmar,101
Antigua and Barbuda,Mongolia,328
Antigua and Barbuda,Macao,1353
Antigua and Barbuda,Martinique,234608
Antigua and Barbuda,Mauritania,1803
Antigua and Barbuda,Malta,18980
Antigua and Barbuda,Mauritius,8436
Antigua and Barbuda,Maldives,6264
Antigua and Barbuda,Malawi,2623
Antigua and Barbuda,Mexico,852
Antigua and Barbuda,Malaysia,416
Antigua and Barbuda,Mozambique,2812
Antigua and Barbuda,New Caledonia,921
Antigua and Barbuda,Niger,6591
Antigua and Barbuda,Nigeria,7632
Antigua and Barbuda,Nicaragua,1418
Antigua and Barbuda,Netherlands,5929
Antigua and Barbuda,Norway,2062
Antigua and Barbuda,Nepal,491
Antigua and Barbuda,New Zealand,4324
Antigua and Barbuda,Oman,1720
Antigua and Barbuda,Panama,5837
Antigua and Barbuda,Peru,750
Antigua and Barbuda,French Polynesia,7917
Antigua and Barbuda,Papua New Guinea,1367
Antigua and Barbuda,Philippines,1822
Antigua and Barbuda,Pakistan,841
Antigua and Barbuda,Poland,502
Antigua and Barbuda,Puerto Rico,16901
Antigua and Barbuda,Portugal,1516
Antigua and Barbuda,Paraguay,1033
Antigua and Barbuda,Qatar,3430
Antigua and Barbuda,Réunion,2423
Antigua and Barbuda,Romania,816
Antigua and Barbuda,Serbia,2630
Antigua and Barbuda,Rwanda,3038
Antigua and Barbuda,Saudi Arabia,1041
Antigua and Barbuda,Solomon Islands,2786
Antigua and Barbuda,Seychelles,35024
Antigua and Barbuda,Sweden,2763
Antigua and Barbuda,Singapore,1251
Antigua and Barbuda,Slovenia,1933
Antigua and Barbuda,Slovakia,554
Antigua and Barbuda,Sierra Leone,19845
Antigua and Barbuda,Senegal,5537
Antigua and Barbuda,Suriname,575311
Antigua and Barbuda,Sao Tome and Principe,10786
Antigua and Barbuda,El Salvador,1009
Antigua and Barbuda,Eswatini,3938
Antigua and Barbuda,Chad,1008
Antigua and Barbuda,Togo,5482
Antigua and Barbuda,Thailand,196
Antigua and Barbuda,Tajikistan,359
Antigua and Barbuda,Timor-Leste,766
Antigua and Barbuda,Tunisia,683
Antigua and Barbuda,Tonga,5288
Antigua and Barbuda,Türkiye,703
Antigua and Barbuda,Trinidad and Tobago,770187
Antigua and Barbuda,"Taiwan, Province of China",418
Antigua and Barbuda,"Tanzania, United Republic of",3294
Antigua and Barbuda,Ukraine,490
Antigua and Barbuda,Uganda,6566
Antigua and Barbuda,United States,56333
Antigua and Barbuda,Uruguay,1580
Antigua and Barbuda,Uzbekistan,205
Antigua and Barbuda,Saint Vincent and the Grenadines,11065040
Antigua and Barbuda,Viet Nam,190
Antigua and Barbuda,Vanuatu,3942
Antigua and Barbuda,Samoa,3001
Antigua and Barbuda,Kosovo,556
Antigua and Barbuda,Mayotte,12445
Antigua and Barbuda,South Africa,2955
Antigua and Barbuda,Zambia,7549
Antigua and Barbuda,Zimbabwe,4962
Albania,United Arab Emirates,2101
Albania,Antigua and Barbuda,641
Albania,Albania,14884656
Albania,Armenia,896
Albania,Angola,689
Albania,Argentina,574
Albania,Austria,19997
Albania,Australia,2268
Albania,Aruba,910
Albania,Azerbaijan,1300
Albania,Bosnia and Herzegovina,15027
Albania,Barbados,704
Albania,Bangladesh,430
Albania,Belgium,20975
Albania,Burkina Faso,572
Albania,Bulgaria,7200
Albania,Bahrain,1609
Albania,Burundi,481
Albania,Benin,2996
Albania,Brunei Darussalam,401
Albania,"Bolivia, Plurinational State of",353
Albania,Brazil,551
Albania,Bahamas,568
Albania,Bhutan,239
Albania,Botswana,534
Albania,Belarus,2763
Albania,Belize,757
Albania,Canada,5606
Albania,"Congo, The Democratic Republic of the",446
Albania,Central African Republic,695
Albania,Congo,767
Albania,Switzerland,36294
Albania,Côte d'Ivoire,1289
Albania,Chile,365
Albania,Cameroon,809
Albania,Colombia,467
