Origin	Destination	Migration #	state_to_state_sci
Arizona	New York	7627	1267.829032258065
Arizona	North Carolina	3646	1216.4586666666669
Arizona	North Dakota	424	5622.367295597484
Arizona	Ohio	3091	1202.9984848484848
Arizona	Oklahoma	2925	3256.890043290043
Arizona	Oregon	10465	5076.957407407407
Arizona	Pennsylvania	4780	1360.9572139303484
Arizona	Rhode Island	145	1103.2266666666667
Arizona	South Carolina	1186	1050.7942028985506
Arizona	South Dakota	1892	7333.020202020202
Arizona	Tennessee	4498	1466.6491228070176
Arizona	Texas	16779	2936.7503937007873
Arizona	Utah	5766	17707.181609195402
Arizona	Vermont	242	1631.9476190476191
Arizona	Virginia	4441	1241.8010025062656
Arizona	Washington	12844	4407.7743589743595
Arizona	West Virginia	40	973.8509090909092
Arizona	Wisconsin	4015	1909.413888888889
Arizona	Wyoming	2501	8750.663768115943
Arkansas	Alabama	1056	3346.169751243781
Arkansas	Alaska	17	2640.566896551724
Arkansas	Arizona	1112	1686.512888888889
Arkansas	California	6320	1351.3388505747128
Arkansas	Colorado	3878	2842.407708333333
Arkansas	Connecticut	3	621.49
Arkansas	Delaware	0	1007.4577777777776
Arkansas	District of Columbia 	49	1425.68
Arkansas	Florida	4555	2131.5269651741296
Arkansas	Georgia	2117	2262.645115303983
Arkansas	Hawaii	319	1328.6233333333332
Arkansas	Idaho	170	1634.5069696969697
Arkansas	Illinois	1591	3163.9359477124185
Arkansas	Indiana	462	1827.0384057971012
Arkansas	Iowa	1077	2070.542222222222
Arkansas	Kansas	2343	4270.389079365079
Arkansas	Kentucky	137	2315.5116666666668
Arkansas	Louisiana	2321	22467.15
Arkansas	Maine	30	874.8008333333333
Arkansas	Maryland	109	946.315
Arkansas	Massachusetts	220	571.5285714285714
Arkansas	Michigan	210	1400.542329317269
Arkansas	Minnesota	1051	1208.440459770115
Arkansas	Mississippi	1129	16275.383089430894
Arkansas	Missouri	8714	16804.87663768116
Arkansas	Montana	1334	2289.0088095238093
Arkansas	Nebraska	251	2294.4713978494624
Arkansas	Nevada	1183	2461.709803921569
Arkansas	New Hampshire	0	721.216
Arkansas	New Jersey	806	558.384126984127
Arkansas	New Mexico	396	2440.641212121212
Arkansas	New York	452	790.0296774193548
Arkansas	North Carolina	2433	1481.4953333333333
Arkansas	North Dakota	0	2119.486289308176
Arkansas	Ohio	463	1211.6786363636363
Arkansas	Oklahoma	3904	13963.71238095238
Arkansas	Oregon	122	1560.772962962963
Arkansas	Pennsylvania	498	912.0123383084576
Arkansas	Rhode Island	0	622.744
Arkansas	South Carolina	288	1791.438550724638
Arkansas	South Dakota	539	1955.99898989899
Arkansas	Tennessee	2959	5217.214456140351
Arkansas	Texas	13652	7366.40094488189
Arkansas	Utah	362	1436.9080459770116
Arkansas	Vermont	0	781.3
Arkansas	Virginia	659	1343.216040100251
Arkansas	Washington	3093	1385.0676923076924
Arkansas	West Virginia	78	1430.8441212121213
Arkansas	Wisconsin	661	1236.3631481481482
Arkansas	Wyoming	0	3180.0440579710144
California	Alabama	2123	794.439011837365
California	Alaska	1210	5160.637336504162
California	Arizona	21152	4180.051724137931
California	Arkansas	2092	1351.3388505747128
California	Colorado	14784	3745.295797413793
California	Connecticut	3113	1142.2995689655172
California	Delaware	772	906.3850574712644
